gtdb_phylum	gtdb_class	gtdb_order	n_species	n_phaC	pct_phaC	n_complete	pct_complete
Pseudomonadota	Alphaproteobacteria	Rhizobiales_A	6	0	0.0	0	0.0
Altiarchaeota	Altiarchaeia	IMC4	6	0	0.0	0	0.0
Omnitrophota	Koll11	UBA10183	6	0	0.0	0	0.0
Bdellovibrionota	FAC87	UBA2466	6	0	0.0	0	0.0
Bacillota_B	Desulfotomaculia	Ammonifexales	6	0	0.0	0	0.0
Asgardarchaeota	Heimdallarchaeia	UBA460	6	0	0.0	0	0.0
Bacillota_D	Dethiobacteria	Dethiobacterales	6	1	16.7	1	16.7
Patescibacteria	JAEDAM01	Absconditabacterales	5	0	0.0	0	0.0
Patescibacteria	JAEDAM01	BD1-5	5	0	0.0	0	0.0
Patescibacteria	ABY1	UBA2591	5	0	0.0	0	0.0
Patescibacteria	ABY1	UBA2196	5	0	0.0	0	0.0
Bacillota_B	Peptococcia	DRI-13	5	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	UBA6522	5	2	40.0	2	40.0
JAMCPX01	JAMCPX01	JAMCPX01	5	0	0.0	0	0.0
Margulisbacteria	WOR-1	O2-12-FULL-45-9	5	0	0.0	0	0.0
Thermoproteota	Bathyarchaeia	TCS64	5	0	0.0	0	0.0
Myxococcota	Polyangia	Nannocystales	5	5	100.0	5	100.0
Thermoplasmatota	Thermoplasmata	PWKY01	5	2	40.0	2	40.0
Pseudomonadota	Gammaproteobacteria	UBA4575	5	0	0.0	0	0.0
Edwardsbacteria	AC1	AC1	5	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	UBA12402	5	0	0.0	0	0.0
Eremiobacterota	Xenobia	Xenobiales	5	1	20.0	1	20.0
Bacillota_B	Dehalobacteriia	UBA4068	5	0	0.0	0	0.0
Bacteroidota	Bacteroidia	UBA7662	5	0	0.0	0	0.0
Desulfobacterota	Desulfobacteria	C00003060	5	0	0.0	0	0.0
Desulfobacterota	Desulfobaccia	Desulfobaccales	5	2	40.0	0	0.0
Desulfobacterota	Desulfarculia	Desulfarculales	5	0	0.0	0	0.0
Aenigmatarchaeota	Aenigmatarchaeia	PWEA01	5	0	0.0	0	0.0
Spirochaetota	UBA4802	UBA4802	5	0	0.0	0	0.0
Omnitrophota	Koll11	2-01-FULL-45-10	5	0	0.0	0	0.0
Bacillota_G	SHA-98	UBA4971	5	0	0.0	0	0.0
Verrucomicrobiota	Kiritimatiellia	CAIKKV01	5	0	0.0	0	0.0
Desulfobacterota_B	Binatia	Binatales	5	3	60.0	3	60.0
Eremiobacterota	Eremiobacteria	Eremiobacterales	5	3	60.0	3	60.0
Pseudomonadota	Gammaproteobacteria	SZUA-152	5	0	0.0	0	0.0
Chloroflexota	Ktedonobacteria	Ktedonobacterales	5	3	60.0	3	60.0
Chloroflexota	FW602-bin22	FW602-bin22	5	1	20.0	1	20.0
Pseudomonadota	Alphaproteobacteria	Paracaedibacterales	5	5	100.0	5	100.0
Acidobacteriota	Vicinamibacteria	Bin61	5	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	SZUA-161	5	1	20.0	1	20.0
Pseudomonadota	Gammaproteobacteria	Pseudomonadales_A	5	0	0.0	0	0.0
Atribacterota	JS1	SB-45	5	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	HK1	5	5	100.0	5	100.0
Patescibacteria	Microgenomatia	Curtissbacterales	5	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA8366	5	5	100.0	5	100.0
Pseudomonadota	Gammaproteobacteria	GCA-001735895	5	2	40.0	2	40.0
Thermoproteota	Methanomethylicia	B29-G17	5	0	0.0	0	0.0
Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	5	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Geminicoccales	5	5	100.0	5	100.0
AABM5-125-24	RPQS01	RPQS01	5	0	0.0	0	0.0
Caldisericota	Caldisericia	Caldisericales	5	0	0.0	0	0.0
Actinomycetota	Geothermincolia	Geothermincolales	5	5	100.0	5	100.0
Bacillota	Bacilli	Aneurinibacillales	5	5	100.0	5	100.0
Altiarchaeota	Altiarchaeia	Altiarchaeales	4	0	0.0	0	0.0
Thermoproteota	EX4484-205	EX4484-205	4	0	0.0	0	0.0
Bacteroidota	Bacteroidia	Flavobacteriales_A	4	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA3830	4	4	100.0	4	100.0
Bacillota_H	UBA994	UBA994	4	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	SM23-28-2	4	4	100.0	4	100.0
Pseudomonadota	Alphaproteobacteria	UBA2966	4	3	75.0	3	75.0
Chloroflexota	Anaerolineae	UBA4142	4	0	0.0	0	0.0
Planctomycetota	Phycisphaerae	SM23-33	4	0	0.0	0	0.0
Myxococcota	UBA9042	DTJE01	4	1	25.0	1	25.0
Planctomycetota	UBA8742	UBA2392	4	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	SMXQ01	4	1	25.0	1	25.0
Pseudomonadota	Gammaproteobacteria	UBA5335	4	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	GCA-2731375	4	4	100.0	4	100.0
Thermoproteota	Thermoprotei_A	Marsarchaeales	4	0	0.0	0	0.0
Actinomycetota	Actinomycetia	Jiangellales	4	0	0.0	0	0.0
Actinomycetota	Actinomycetia	Euzebyales	4	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Thiotrichales	4	3	75.0	3	75.0
Myxococcota	Bradymonadia	Bradymonadales	4	2	50.0	2	50.0
Pseudomonadota	Gammaproteobacteria	DSM-16500	4	1	25.0	1	25.0
Actinomycetota	Thermoleophilia	UBA2241	4	0	0.0	0	0.0
Actinomycetota	UBA4738	UBA4738	4	0	0.0	0	0.0
Eisenbacteria	RBG-16-71-46	CAIMUX01	4	0	0.0	0	0.0
WOR-3	UBA3072	UBA3072	4	0	0.0	0	0.0
Bacillota	Bacilli	Haloplasmatales	4	0	0.0	0	0.0
Thermoproteota	Korarchaeia	Korarchaeales	4	0	0.0	0	0.0
Halobacteriota	Bog-38	Bog-38	4	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	GCF-002020875	4	0	0.0	0	0.0
Thermoproteota	Nitrososphaeria	Conexivisphaerales	4	0	0.0	0	0.0
Methanobacteriota_B	Thermococci	Methanofastidiosales	4	0	0.0	0	0.0
Patescibacteria	Paceibacteria	Sungbacterales	4	0	0.0	0	0.0
Desulfobacterota_D	UBA1144	UBA2774	4	3	75.0	3	75.0
Chloroflexota	Anaerolineae	Ardenticatenales	4	0	0.0	0	0.0
Actinomycetota	Thermoleophilia	BMS3ABIN01	4	0	0.0	0	0.0
Patescibacteria	Andersenbacteria	UBA10190	4	0	0.0	0	0.0
JdFR-76	JdFR-76	JdFR-76	4	0	0.0	0	0.0
Bdellovibrionota	UBA2361	UBA2361	4	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA7887	4	1	25.0	1	25.0
Patescibacteria	UBA1384	2-12-FULL-50-11	4	0	0.0	0	0.0
Patescibacteria	Paceibacteria	Terrybacterales	4	0	0.0	0	0.0
Marinisomatota	UBA8477	UBA8477	4	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA7985	4	0	0.0	0	0.0
Patescibacteria	ABY1	UBA11705	4	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA828	4	3	75.0	3	75.0
Pseudomonadota	Gammaproteobacteria	PWYM01	4	4	100.0	4	100.0
Patescibacteria	Microgenomatia	2-02-FULL-39-11	4	0	0.0	0	0.0
Bipolaricaulota	Bipolaricaulia	UBA7950	4	0	0.0	0	0.0
Patescibacteria	Kazan-3B-28	Kazan-3B-28	4	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	UBA6186	4	2	50.0	2	50.0
Caldisericota	Caldisericia	Cryosericales	4	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Tenderiales	4	0	0.0	0	0.0
Chloroflexota	Anaerolineae	J036	4	0	0.0	0	0.0
Nanoarchaeota	Nanoarchaeia	UBA10117	4	0	0.0	0	0.0
Patescibacteria	Saccharimonadia	CAILAD01	4	0	0.0	0	0.0
Atribacterota	Atribacteria	Atribacterales	4	0	0.0	0	0.0
Bacillota_A	Clostridia	DUPQ01	4	0	0.0	0	0.0
Cloacimonadota	Cloacimonadia	JGIOTU-2	4	0	0.0	0	0.0
Bacillota_C	Negativicutes	Sporomusales	4	0	0.0	0	0.0
Bacteroidota	T3Sed10-11	T3Sed10-11	4	0	0.0	0	0.0
Thermotogota	Thermotogae	Mesoaciditogales	4	0	0.0	0	0.0
Thermoplasmatota	Thermoplasmata	Sysuiplasmatales	4	0	0.0	0	0.0
Nitrospirota	Nitrospiria	SBBL01	4	0	0.0	0	0.0
Bacillota_G	UBA4882	UBA10575	4	0	0.0	0	0.0
Delongbacteria	UBA4055	UBA4055	4	0	0.0	0	0.0
Bacillota_A	Thermoanaerobacteria	Caldicellulosiruptorales	3	0	0.0	0	0.0
Bacillota	Bacilli	DSM-22653	3	0	0.0	0	0.0
Myxococcota	UBA727	UBA727	3	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA1280	3	0	0.0	0	0.0
Spirochaetota	GWE2-31-10	GWE2-31-10	3	0	0.0	0	0.0
SAR324	SAR324	XYD2-FULL-50-16	3	1	33.3	1	33.3
Pseudomonadota	Alphaproteobacteria	CACIAM-22H2	3	3	100.0	3	100.0
Myxococcota	Bradymonadia	UBA7976	3	1	33.3	1	33.3
KSB1	UBA2214	CR04bin15	3	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA7879	3	0	0.0	0	0.0
Myxococcota	XYA12-FULL-58-9	XYA12-FULL-58-9	3	1	33.3	1	33.3
Spirochaetota	Spirochaetia	CADAEX01	3	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Caedimonadales	3	2	66.7	2	66.7
Pseudomonadota	Gammaproteobacteria	DRMK01	3	0	0.0	0	0.0
Bacillota_A	Clostridia	UMGS1840	3	0	0.0	0	0.0
Bacillota_A	Clostridia	RUG12999	3	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	VXPW01	3	3	100.0	3	100.0
Bacillota_C	Negativicutes	Propionisporales	3	0	0.0	0	0.0
Armatimonadota	Armatimonadia	Armatimonadales	3	0	0.0	0	0.0
Patescibacteria	Paceibacteria	UBA10092	3	0	0.0	0	0.0
Nitrospirota	UBA9217	UBA9217	3	0	0.0	0	0.0
OLB16	OLB16	OLB16	3	0	0.0	0	0.0
Margulisbacteria	Riflemargulisbacteria	GWF2-35-9	3	0	0.0	0	0.0
Patescibacteria	Gracilibacteria	UBA4473	3	0	0.0	0	0.0
Patescibacteria	CPR2	CPR2	3	0	0.0	0	0.0
Patescibacteria	ABY1	UBA2169	3	0	0.0	0	0.0
Patescibacteria	ABY1	UBA9570	3	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Thiohalomonadales	3	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	RKRP01	3	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	MnTg04	3	2	66.7	2	66.7
Pseudomonadota	Gammaproteobacteria	S012-40	3	0	0.0	0	0.0
Patescibacteria	Paceibacteria	GWC2-36-17	3	0	0.0	0	0.0
Patescibacteria	UBA1384	GWA2-35-9	3	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	3	1	33.3	1	33.3
Bacillota_E	UBA995	UBA995	3	0	0.0	0	0.0
Bacillota_F	Halanaerobiia	B1SED10-174	3	0	0.0	0	0.0
Bacillota_F	Halanaerobiia	Halobacteroidales	3	0	0.0	0	0.0
Bacillota_D	Proteinivoracia	UBA4975	3	0	0.0	0	0.0
Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	3	0	0.0	0	0.0
Aenigmatarchaeota	Aenigmatarchaeia	Aenigmatarchaeales	3	0	0.0	0	0.0
Nitrospinota	UBA7883	UBA7883	3	0	0.0	0	0.0
Patescibacteria	ABY1	2-01-FULL-39-33	3	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Bin65	3	3	100.0	3	100.0
Pseudomonadota	Gammaproteobacteria	Diplorickettsiales	3	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Sneathiellales	3	3	100.0	3	100.0
Pseudomonadota	Alphaproteobacteria	RUG11792	3	0	0.0	0	0.0
Omnitrophota	Koll11	Pluralincolimonadales	3	0	0.0	0	0.0
Aerophobota	Aerophobia	Aerophobales	3	0	0.0	0	0.0
Aenigmatarchaeota	Aenigmatarchaeia	QMZP01	3	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Berkiellales	3	2	66.7	2	66.7
Omnitrophota	Koll11	Aquiviventales	3	0	0.0	0	0.0
Planctomycetota	UBA8108	UBA8108	3	0	0.0	0	0.0
Planctomycetota	UBA1135	UBA2386	3	0	0.0	0	0.0
Patescibacteria	ABY1	Buchananbacterales	3	0	0.0	0	0.0
Thermoproteota	Bathyarchaeia	B25	3	0	0.0	0	0.0
Fibrobacterota	Chitinivibrionia	Chitinivibrionales	3	0	0.0	0	0.0
Verrucomicrobiota	Verrucomicrobiae	Palsa-1439	3	0	0.0	0	0.0
UBA10199	UBA10199	UBA10199	3	0	0.0	0	0.0
Zixibacteria	MSB-5A5	GN15	3	0	0.0	0	0.0
Chloroflexota	UBA6077	UBA6077	3	1	33.3	1	33.3
Actinomycetota	Geothermincolia	Fen-727	3	0	0.0	0	0.0
Verrucomicrobiota	Lentisphaeria	JABSQK01	3	0	0.0	0	0.0
Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales	3	0	0.0	0	0.0
Desulfobacterota_F	BSN033	BSN033	3	0	0.0	0	0.0
Halobacteriota	Syntropharchaeia	ANME-1	3	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	UBA6952	3	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	Bin125	3	0	0.0	0	0.0
Elusimicrobiota	UBA8919	UBA8919	3	0	0.0	0	0.0
WOR-3	WOR-3	UBA2258	3	0	0.0	0	0.0
Campylobacterota	Campylobacteria	Nautiliales	3	0	0.0	0	0.0
CG03	CG03	CG03	3	0	0.0	0	0.0
CSP1-3	CSP1-3	CSP1-3	3	1	33.3	1	33.3
Bdellovibrionota	Oligoflexia	Oligoflexales	3	0	0.0	0	0.0
Bdellovibrionota	Oligoflexia	Silvanigrellales	3	0	0.0	0	0.0
Thermoproteota	Nitrososphaeria	Geothermarchaeales	3	0	0.0	0	0.0
Spirochaetota	Spirochaetia	Spirochaetales_E	3	0	0.0	0	0.0
Desulfobacterota	Desulfomonilia	Desulfomonilales	3	0	0.0	0	0.0
Desulfobacterota	Desulfarculia	Adiutricales	3	0	0.0	0	0.0
Campylobacterota	Desulfurellia	Desulfurellales	3	0	0.0	0	0.0
Undinarchaeota	Undinarchaeia	Undinarchaeales	3	0	0.0	0	0.0
Desulfobacterota_B	Binatia	UBA1149	3	1	33.3	1	33.3
Verrucomicrobiota	Kiritimatiellia	JAAZAB01	3	0	0.0	0	0.0
Desulfobacterota_F	GWC2-55-46	UBA9637	3	0	0.0	0	0.0
Chloroflexota	Anaerolineae	UCB3	3	3	100.0	3	100.0
Asgardarchaeota	Hermodarchaeia	Hermodarchaeales	3	0	0.0	0	0.0
Nanoarchaeota	Nanoarchaeia	Nanoarchaeales	3	0	0.0	0	0.0
Acidobacteriota	Blastocatellia	Chloracidobacteriales	3	3	100.0	3	100.0
UBA10199	UBA10199	2-02-FULL-44-16	3	0	0.0	0	0.0
Marinisomatota	SORT01	SORT01	3	0	0.0	0	0.0
Marinisomatota	AB16	AB16	3	0	0.0	0	0.0
Margulisbacteria	WOR-1	XYC2-FULL-46-14	3	0	0.0	0	0.0
Fermentibacterota	Fermentibacteria	Fermentibacterales	3	0	0.0	0	0.0
Chloroflexota	Anaerolineae	Thermoflexales	3	0	0.0	0	0.0
Thermoplasmatota	Thermoplasmata	SG8-5	3	1	33.3	1	33.3
Verrucomicrobiota	Kiritimatiellia	UBA8416	3	0	0.0	0	0.0
Chloroflexota	UBA11872	UBA11872	3	0	0.0	0	0.0
Bacteroidota	Kapabacteria	OLB7	3	0	0.0	0	0.0
Bipolaricaulota	Bipolaricaulia	M55B111	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	JACKNK01	2	0	0.0	0	0.0
UBA10199	UBA10199	2-02-FULL-50-16	2	0	0.0	0	0.0
Patescibacteria	CPR3	CPR3	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	JABHGC01	2	0	0.0	0	0.0
Bacillota_C	Negativicutes	Sporomusales_C	2	0	0.0	0	0.0
Zixibacteria	MSB-5A5	MSB-5A5	2	0	0.0	0	0.0
Patescibacteria	Saccharimonadia	UBA4664	2	2	100.0	1	50.0
Bdellovibrionota	O2-12-FULL-43-9	2-02-FULL-40-11	2	0	0.0	0	0.0
Patescibacteria	ABY1	UBA9629	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	JABCZS01	2	1	50.0	1	50.0
WOR-3	Hydrothermia	UBA1063	2	0	0.0	0	0.0
Patescibacteria	ABY1	JAACEG01	2	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	TMED109_A	2	0	0.0	0	0.0
Bacillota_C	Negativicutes	RGIG982	2	0	0.0	0	0.0
Patescibacteria	ABY1	PEXW01	2	0	0.0	0	0.0
Thermoproteota	Methanomethylicia	Nezhaarchaeales	2	0	0.0	0	0.0
Desantisbacteria	UBA1551	UBA1551	2	0	0.0	0	0.0
Cyanobacteriota	Cyanobacteriia	Gloeomargaritales	2	0	0.0	0	0.0
Chloroflexota	Anaerolineae	4572-78	2	2	100.0	2	100.0
Cyanobacteriota	Cyanobacteriia	PCC-9006	2	0	0.0	0	0.0
Patescibacteria	Dojkabacteria	GCA-002793355	2	0	0.0	0	0.0
Patescibacteria	Dojkabacteria	JAKAPS01	2	0	0.0	0	0.0
Delongbacteria	UBA4055	CAIWAD01	2	0	0.0	0	0.0
Patescibacteria	Gracilibacteria	JAHISY01	2	0	0.0	0	0.0
Patescibacteria	ABY1	UBA10025	2	0	0.0	0	0.0
Patescibacteria	Gracilibacteria	UM-FILTER-43-11	2	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Oceanibaculales	2	2	100.0	2	100.0
Pseudomonadota	Alphaproteobacteria	UBA9655	2	1	50.0	1	50.0
Cyanobacteriota	Vampirovibrionia	Vampirovibrionales	2	0	0.0	0	0.0
Wallbacteria	UBA9980	UBA9980	2	2	100.0	2	100.0
Patescibacteria	ABY1	Veblenbacterales	2	0	0.0	0	0.0
Cyanobacteriota	Vampirovibrionia	2-02-FULL-35-15	2	2	100.0	2	100.0
Cyanobacteriota	Cyanobacteriia	Synechococcales	2	0	0.0	0	0.0
Acidobacteriota	UBA890	UBA890	2	1	50.0	1	50.0
Pseudomonadota	Gammaproteobacteria	CAISUE01	2	0	0.0	0	0.0
Bacillota_A	Thermosediminibacteria	Koleobacterales	2	0	0.0	0	0.0
Planctomycetota	GCA-002687715	GCA-002687715	2	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	DSTF01	2	2	100.0	2	100.0
Chloroflexota	Dehalococcoidia	UBA2985	2	0	0.0	0	0.0
Chloroflexota	Anaerolineae	JAAEKA01	2	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	UBA1127	2	0	0.0	0	0.0
Patescibacteria	Paceibacteria	Ryanbacterales	2	0	0.0	0	0.0
Bacillota_B	Moorellia	DTU086	2	0	0.0	0	0.0
Patescibacteria	Microgenomatia	JAMCZE01	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	CAIRSR01	2	0	0.0	0	0.0
Patescibacteria	UBA1384	UBA1384	2	0	0.0	0	0.0
Patescibacteria	UBA1384	XYA2-FULL-43-10	2	0	0.0	0	0.0
Zixibacteria	MSB-5A5	CAIYYT01	2	0	0.0	0	0.0
Patescibacteria	WWE3	2-01-FULL-39-13	2	0	0.0	0	0.0
Planctomycetota	UBA11346	UBA11346	2	0	0.0	0	0.0
Planctomycetota	UBA8108	UBA8890	2	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	16-39-46	2	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	SP197	2	2	100.0	2	100.0
CG03	SLGR01	SLGR01	2	0	0.0	0	0.0
Bacillota_C	Negativicutes	DSM-1736	2	0	0.0	0	0.0
Bacillota_B	Thermincolia	Thermincolales	2	0	0.0	0	0.0
WOR-3	32-111	32-111	2	0	0.0	0	0.0
Thermotogota	Thermotogae	MWEM01	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	AqS2	2	2	100.0	2	100.0
Caldisericota	Caldisericia	UBA6126	2	0	0.0	0	0.0
UBA9089	CG2-30-40-21	CG2-30-40-21	2	0	0.0	0	0.0
Bacillota_B	Dehalobacteriia	UBA7702	2	0	0.0	0	0.0
Caldisericota	Caldisericia	JAAYUI01	2	0	0.0	0	0.0
Chloroflexota	Chloroflexia	Thermobaculales	2	2	100.0	2	100.0
Chloroflexota	DTOL01	DTOL01	2	0	0.0	0	0.0
Chloroflexota	UBA2235	UBA12225	2	0	0.0	0	0.0
Patescibacteria	Paceibacteria	CAIUEV01	2	0	0.0	0	0.0
Patescibacteria	UBA1384	UBA12157	2	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	UBA6926	2	0	0.0	0	0.0
Patescibacteria	Paceibacteria	JAHIHE01	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	SZUA-76	2	0	0.0	0	0.0
Myxococcota	Polyangia	HGW-17	2	0	0.0	0	0.0
Halobacteriota	Methanoliparia	Methanoliparales	2	2	100.0	2	100.0
Myxococcota	Polyangia	JAAYKL01	2	0	0.0	0	0.0
Actinomycetota	Coriobacteriia	WRKU01	2	0	0.0	0	0.0
Myxococcota	UBA6777	UBA6777	2	2	100.0	2	100.0
Thermoplasmatota	EX4484-6	EX4484-6	2	0	0.0	0	0.0
Thermoplasmatota	Thermoplasmata	ARK-15	2	0	0.0	0	0.0
Spirochaetota	Leptospirae	Turneriellales	2	0	0.0	0	0.0
HKB111	HKB111	HKB111	2	0	0.0	0	0.0
Spirochaetota	JAAYUW01	JAAYUW01	2	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	CAIVPW01	2	0	0.0	0	0.0
Myxococcota	Bradymonadia	UBA4248	2	0	0.0	0	0.0
Bacillota_G	DTU065	DTU065	2	0	0.0	0	0.0
Bacillota_G	DTU084	DTU084	2	0	0.0	0	0.0
Bacillota_G	Limnochordia	DTU080	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	UBA2770	2	0	0.0	0	0.0
Bacillota_E	Thermaerobacteria	Thermaerobacterales	2	0	0.0	0	0.0
Sumerlaeota	Sumerlaeia	SLMS01	2	0	0.0	0	0.0
Dictyoglomota	Dictyoglomia	Dictyoglomales	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	UBA1113	2	1	50.0	1	50.0
Acidobacteriota	Vicinamibacteria	Fen-336	2	0	0.0	0	0.0
Myxococcota	Bradymonadia	REDH01	2	1	50.0	1	50.0
Asgardarchaeota	Heimdallarchaeia	JABLTI01	2	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA11136	2	2	100.0	2	100.0
Acidobacteriota	Blastocatellia	RBC074	2	0	0.0	0	0.0
Acidobacteriota	Blastocatellia	UBA7656	2	2	100.0	2	100.0
Acidobacteriota	Thermoanaerobaculia	Gp7-AA8	2	0	0.0	0	0.0
Acidobacteriota	Polarisedimenticolia	Gp22-AA2	2	0	0.0	0	0.0
BMS3Abin14	BMS3Abin14	BMS3Abin14	2	0	0.0	0	0.0
JACPWU01	JACPWU01	JACPWU01	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	UBA6429	2	0	0.0	0	0.0
Methanobacteriota	Methanopyri	Methanopyrales	2	0	0.0	0	0.0
Bacillota	Bacilli	Kyrpidiales	2	2	100.0	2	100.0
Acidobacteriota	Terriglobia	VXMN01	2	0	0.0	0	0.0
Myxococcota_A	UBA9160	SZUA-336	2	0	0.0	0	0.0
Schekmanbacteria	GWA2-38-11	GWA2-38-11	2	0	0.0	0	0.0
Nanoarchaeota	Nanoarchaeia	B33-G15	2	0	0.0	0	0.0
Thermoplasmatota	Thermoplasmata	UBA10834	2	1	50.0	1	50.0
Bacteroidota	Ignavibacteria	Ch128b	2	0	0.0	0	0.0
Thermoproteota	Bathyarchaeia	B24	2	0	0.0	0	0.0
Acidobacteriota	Terriglobia	UBA7540	2	0	0.0	0	0.0
Fibrobacterota	Fibrobacteria	UBA5070	2	0	0.0	0	0.0
Acidobacteriota	Terriglobia	20CM-2-55-15	2	0	0.0	0	0.0
Thermoproteota	Thermoprotei	Gearchaeales	2	0	0.0	0	0.0
Auribacterota	Auribacteria	Auribacterales	2	0	0.0	0	0.0
Bacillota_H	UBA994	UBA5500	2	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	CADEGL01	2	2	100.0	2	100.0
Bacillota_D	Dethiobacteria	SKNC01	2	0	0.0	0	0.0
Bacillota_G	UBA4882	UBA8346	2	0	0.0	0	0.0
Actinomycetota	Actinomycetia	Acidothermales	2	0	0.0	0	0.0
Spirochaetota	Spirochaetia	PWKH01	2	0	0.0	0	0.0
Actinomycetota	Aquicultoria	Aquicultorales	2	0	0.0	0	0.0
Eremiobacterota	CADAWZ01	CADAWZ01	2	0	0.0	0	0.0
Patescibacteria	ABY1	GWA2-43-13	2	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Holosporales	2	1	50.0	1	50.0
Nitrospirota	Nitrospiria	JACQBW01	2	0	0.0	0	0.0
Bacteroidota	Bacteroidia	CAILMK01	2	0	0.0	0	0.0
Bacteroidota	Bacteroidia	CAIKAF01	2	0	0.0	0	0.0
Thermoproteota	Thermoprotei	QMSL01	2	0	0.0	0	0.0
Aenigmatarchaeota	Aenigmatarchaeia	QMZS01	2	0	0.0	0	0.0
Armatimonadota	UBA5377	UBA5377	2	1	50.0	0	0.0
Pseudomonadota	Alphaproteobacteria	GCA-002720895	2	0	0.0	0	0.0
Desulfobacterota_B	Binatia	Bin18	2	2	100.0	2	100.0
Omnitrophota	Koll11	B26-G9	2	0	0.0	0	0.0
Desulfobacterota	Syntrophobacteria	BM002	2	0	0.0	0	0.0
WOR-3	UBA3073	UBA3073	2	0	0.0	0	0.0
Actinomycetota	Aquicultoria	Subteraquimicrobiales	2	0	0.0	0	0.0
Eisenbacteria	RBG-16-71-46	RBG-16-71-46	2	0	0.0	0	0.0
Nitrospinota	UBA9942	UBA9942	2	0	0.0	0	0.0
Desulfobacterota_B	Binatia	DP-6	2	0	0.0	0	0.0
Verrucomicrobiota	Kiritimatiellia	SS1-B-03-39	2	0	0.0	0	0.0
Eisenbacteria	RBG-16-71-46	SZUA-252	2	0	0.0	0	0.0
Elusimicrobiota	Elusimicrobia	2-02-FULL-39-32	2	0	0.0	0	0.0
Thermoplasmatota	B47-G6	B47-G6B	2	0	0.0	0	0.0
Bacillota_E	JAJZYS01	JAJZYS01	2	0	0.0	0	0.0
Elusimicrobiota	Elusimicrobia	FEN-1173	2	0	0.0	0	0.0
Bacillota_E	SLMV01	SLMV01	2	0	0.0	0	0.0
Elusimicrobiota	Endomicrobia	CG1-02-37-114	2	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	DRJJ01	1	0	0.0	0	0.0
WOR-3	WOR-3	B3-TA06	1	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	GRL18	1	0	0.0	0	0.0
