genus	root_og	n_clusters
Burkholderia	COG3934	8
Listeria	COG2249	43
Francisella	COG2842	4
Erwinia	COG5499	15
Francisella	COG1327	1
Burkholderia	2ZBY6	14
Klebsiella	32U5D	22
Bacillus	2ZAX0	15
Staphylococcus	COG1442	3
Clostridioides	COG2084	9
Klebsiella	331NB	1
Erwinia	32T6P	16
Proteus	COG0639	24
Vibrio	3147Y	4
Pseudomonas	COG3558	20
Bacillus	COG1878	14
Salmonella	COG1443	15
Bacillus	COG4972	3
Acinetobacter	COG4704	3
Acinetobacter	COG4289	1
Helicobacter	COG0517	31
Serratia	332E8	1
Proteus	COG1546	16
Pseudomonas	32WMR	14
Serratia	32SSN	5
Acinetobacter	COG4566	21
Mycobacterium	COG3779	6
Neisseria	COG1637	32
Serratia	2Z9DH	5
Yersinia	32TXR	23
Erwinia	COG3745	1
Proteus	COG0676	14
Serratia	COG3183	22
Klebsiella	COG3863	17
Burkholderia	330H2	9
Chromobacterium	COG5662	10
Legionella	2ZAWA	13
Neisseria	332VP	24
Salmonella	32UK6	1
Listeria	COG4307	1
Enterococcus	COG3431	2
Mycobacterium	2Z85W	15
Yersinia	COG2353	26
Enterococcus	COG3304	17
Klebsiella	2ZAZM	6
Burkholderia	32YCZ	9
Erwinia	COG1807	18
Legionella	COG3646	12
Chromobacterium	COG1414	46
Serratia	COG2363	11
Salmonella	32SV9	2
Salmonella	COG3408	8
Burkholderia	30X3H	2
Klebsiella	COG1722	22
Campylobacter	COG0617	17
Burkholderia	33Y9H	9
Salmonella	COG2137	5
Klebsiella	2Z94B	18
Neisseria	COG4848	21
Proteus	COG1145	18
Pseudomonas	COG3141	17
Chromobacterium	COG1835	26
Salmonella	COG5266	3
Klebsiella	COG4088	23
Chromobacterium	COG3022	14
Streptococcus	2ZAKT	3
Staphylococcus	COG2038	2
Burkholderia	32XCN	7
Vibrio	COG2042	3
Proteus	COG3055	8
Legionella	COG2133	10
Salmonella	COG0271	7
Clostridioides	COG2253	5
Mycobacterium	32UKY	1
Francisella	COG1511	4
Pseudomonas	331R8	25
Clostridioides	COG1434	10
Pseudomonas	320SA	8
Salmonella	COG5510	10
Klebsiella	32WKJ	7
Acinetobacter	31TEP	4
Burkholderia	317D2	1
Clostridioides	COG5263	22
Erwinia	COG3028	18
Campylobacter	COG0265	18
Salmonella	COG4283	4
Mycobacterium	COG1477	16
Burkholderia	2ZAJ0	17
Legionella	COG3218	30
Burkholderia	316KN	35
Serratia	COG4679	14
Klebsiella	COG2144	11
Acinetobacter	2Z8Q4	1
Klebsiella	32RXZ	10
Salmonella	32FKQ	5
Acinetobacter	33MXJ	10
Clostridioides	COG0697	36
Campylobacter	COG0593	15
Acinetobacter	COG4317	46
Pseudomonas	COG3123	17
Salmonella	COG4186	1
Serratia	2ZA7W	3
Chromobacterium	COG5342	9
Vibrio	2Z7K7	3
Legionella	2Z806	2
Streptococcus	COG0393	23
Burkholderia	2ZD7R	2
Legionella	COG1610	30
Campylobacter	COG3267	8
Pseudomonas	COG3196	9
Mycobacterium	COG3771	1
Yersinia	COG4967	24
Pseudomonas	COG4925	12
Pseudomonas	2ZIM4	3
Enterococcus	COG4725	10
Salmonella	2Z7J1	5
Yersinia	COG2937	28
Enterococcus	COG3130	1
Salmonella	COG3757	4
Staphylococcus	COG0421	3
Campylobacter	COG1061	22
Yersinia	2ZAXQ	8
Proteus	2Z8D8	9
Yersinia	COG4804	3
Erwinia	318D9	6
Streptococcus	COG2067	3
Streptococcus	COG3161	6
Erwinia	33BKK	7
Pseudomonas	33XXJ	5
Vibrio	32SSG	6
Salmonella	COG3886	4
Klebsiella	COG2158	1
Campylobacter	COG1181	30
Vibrio	COG3812	18
Serratia	COG4261	5
Salmonella	COG0729	22
Francisella	COG0594	9
Chromobacterium	COG2375	15
Serratia	COG0647	12
Streptococcus	COG3613	45
Streptococcus	COG0659	29
Pseudomonas	COG3514	9
Erwinia	COG1122	12
Clostridioides	2ZBJB	3
Serratia	COG3817	14
Serratia	COG1377	15
Clostridioides	COG0507	29
Klebsiella	COG3595	7
Burkholderia	32RRR	57
Yersinia	2Z9TD	9
Erwinia	COG3288	17
Salmonella	COG1597	12
Staphylococcus	COG4367	33
Bacillus	COG5373	6
Pseudomonas	COG3097	1
Chromobacterium	COG3127	14
Legionella	COG2933	31
Streptococcus	COG3920	25
Erwinia	COG1977	17
Vibrio	COG2005	3
Acinetobacter	318WH	2
Neisseria	COG1545	1
Campylobacter	COG1466	15
Pseudomonas	32VGN	2
Helicobacter	COG1334	15
Acinetobacter	337P4	10
Pseudomonas	COG0803	13
Pseudomonas	COG2508	51
Proteus	COG1566	61
Yersinia	COG4933	4
Burkholderia	COG2068	57
Mycobacterium	COG1916	9
Salmonella	COG0397	16
Serratia	COG5485	3
Acinetobacter	COG3972	43
Yersinia	COG2887	18
Bacillus	COG2910	38
Enterococcus	COG0344	17
Chromobacterium	COG2826	3
Campylobacter	COG1690	8
Corynebacterium	COG2371	32
Yersinia	33ICR	12
Acinetobacter	3310P	20
Francisella	COG1453	5
Acinetobacter	31IAW	1
Neisseria	2ZA0P	4
Erwinia	COG1720	17
Pseudomonas	32VU6	16
Yersinia	COG2315	35
Neisseria	COG0070	3
Chromobacterium	COG2957	20
Klebsiella	COG2993	2
Chromobacterium	2Z82Y	10
Chromobacterium	COG3198	14
Proteus	2ZBJ1	1
Pseudomonas	2Z8V3	15
Campylobacter	COG0449	17
Bacillus	COG4875	6
Legionella	COG3335	44
Klebsiella	COG1295	43
Yersinia	2ZDW4	20
Klebsiella	COG3139	21
Pseudomonas	312HC	5
Burkholderia	33DAM	17
Proteus	3380H	8
Legionella	COG0810	14
Enterococcus	COG5426	1
Burkholderia	316QW	5
Salmonella	COG1739	9
Chromobacterium	COG3646	13
Salmonella	COG3516	25
Streptococcus	33805	3
Francisella	COG2326	13
Campylobacter	3339C	1
Serratia	COG3078	10
Serratia	COG2184	20
Bacillus	COG1379	38
Klebsiella	COG2192	4
Proteus	30259	2
Klebsiella	COG3154	17
Serratia	32STJ	2
Streptococcus	COG4864	1
Klebsiella	2ZBVY	25
Mycobacterium	COG3050	1
Serratia	COG1886	16
Klebsiella	COG3822	15
Burkholderia	COG2191	4
Burkholderia	333PJ	14
Clostridioides	COG3754	2
Salmonella	COG1874	8
Erwinia	COG1536	26
Enterococcus	COG4942	20
Pseudomonas	2Z9P9	8
Erwinia	330UM	8
Acinetobacter	COG3644	43
Klebsiella	31YUV	2
Chromobacterium	COG1585	14
Chromobacterium	315W1	1
Serratia	COG0303	18
Chromobacterium	COG3064	35
Mycobacterium	COG0182	21
Serratia	COG4969	12
Pseudomonas	COG2022	21
Bacillus	COG0132	26
Salmonella	COG3427	2
Serratia	COG3597	2
Campylobacter	COG1055	16
Erwinia	COG1553	18
Pseudomonas	COG2206	34
Proteus	30DH1	11
Klebsiella	32VQ1	13
Acinetobacter	33DHH	3
Erwinia	COG0546	29
Francisella	COG0316	22
Streptococcus	COG2851	41
Erwinia	COG4929	6
Serratia	31W6X	4
Erwinia	COG2026	22
Chromobacterium	COG4372	5
Bacillus	COG0308	1
Klebsiella	COG4291	8
Campylobacter	COG1560	15
Proteus	2ZBVY	14
Francisella	COG5416	12
Pseudomonas	COG1469	19
Chromobacterium	COG3291	5
Enterococcus	COG0746	12
Pseudomonas	2ZCFR	3
Erwinia	331N6	17
Corynebacterium	330UW	1
Proteus	COG5005	16
Campylobacter	COG1232	13
Klebsiella	30EE4	11
Acinetobacter	33H8C	13
Clostridioides	COG2984	22
Listeria	COG0784	16
Mycobacterium	31ZZQ	7
Salmonella	COG3636	27
Mycobacterium	COG3152	24
Neisseria	2Z8K9	4
Klebsiella	COG5487	21
Serratia	30USJ	3
Chromobacterium	COG2352	16
Bacillus	COG2964	20
Clostridioides	COG1540	14
Vibrio	COG1269	4
Clostridioides	2Z8IF	6
Proteus	32ZYD	5
Bacillus	COG1610	31
Proteus	COG0758	24
Mycobacterium	32ZDC	1
Clostridioides	COG4709	8
Pseudomonas	COG3471	15
Yersinia	32T34	6
Legionella	COG2764	22
Yersinia	COG2501	23
Neisseria	33AP5	1
Acinetobacter	33DI3	11
Pseudomonas	COG3853	8
Chromobacterium	COG3555	15
Campylobacter	COG2315	7
Proteus	COG1409	16
Pseudomonas	306Y1	7
Pseudomonas	COG4114	8
Yersinia	33B9K	12
Burkholderia	34AX7	5
Chromobacterium	COG3018	14
Proteus	COG5464	24
Serratia	32S6D	1
Neisseria	COG0450	2
Salmonella	32NPC	4
Legionella	COG0738	9
Yersinia	COG3924	23
Enterococcus	32YT2	1
Chromobacterium	33VQA	5
Yersinia	COG3076	24
Burkholderia	2ZC2V	12
Chromobacterium	COG2368	6
Proteus	COG1506	9
Vibrio	COG3738	18
Clostridioides	COG5635	14
Streptococcus	COG2363	3
Pseudomonas	COG2257	15
Legionella	32SM7	4
Pseudomonas	COG4254	7
Pseudomonas	32KYR	8
Salmonella	COG1814	2
Proteus	COG2519	5
Burkholderia	30T5U	11
Bacillus	32SV9	5
Yersinia	331N6	10
Salmonella	2Z82H	8
Staphylococcus	334GX	1
Erwinia	COG2923	18
Legionella	COG5622	13
Salmonella	COG1981	2
Erwinia	COG1989	31
Klebsiella	COG3963	4
Enterococcus	COG1561	18
Salmonella	COG4126	8
Streptococcus	3375W	5
Yersinia	32W0A	4
Pseudomonas	2ZBV5	15
Bacillus	COG4962	8
Mycobacterium	COG5435	6
Chromobacterium	COG2256	18
Chromobacterium	COG1607	29
Legionella	32YF6	6
Legionella	COG3569	6
Yersinia	COG2515	29
Clostridioides	COG2002	19
Salmonella	COG4192	9
Enterococcus	COG2091	13
Acinetobacter	COG5003	65
Enterococcus	COG2192	4
Legionella	COG3496	11
Streptococcus	COG2885	21
Streptococcus	32Y15	5
Klebsiella	COG1916	11
Chromobacterium	COG2509	14
Burkholderia	33JXJ	5
Serratia	2ZCCI	4
Burkholderia	COG5395	4
Streptococcus	COG2072	18
Erwinia	COG0327	18
Chromobacterium	COG0661	28
Klebsiella	32ZGX	10
Chromobacterium	COG2513	37
Bacillus	COG5290	8
Bacillus	COG3220	5
Burkholderia	COG1561	54
Campylobacter	COG1738	1
Pseudomonas	COG3805	14
Klebsiella	COG3271	14
Serratia	COG4585	14
Streptococcus	COG1666	1
Vibrio	31RVD	2
Clostridioides	COG0421	9
Acinetobacter	COG2068	2
Clostridioides	COG0299	7
Serratia	COG5426	1
Burkholderia	COG3629	12
Chromobacterium	32ZFS	6
Serratia	COG2829	10
Staphylococcus	COG3111	2
Serratia	COG0076	29
Klebsiella	336P0	14
Erwinia	COG0585	17
Proteus	COG0086	22
Staphylococcus	COG3347	1
Burkholderia	3382W	12
Pseudomonas	COG3766	11
Pseudomonas	31TUA	1
Serratia	32ZC4	9
Proteus	2ZB1J	23
Serratia	COG3381	11
Klebsiella	2Z8G1	5
Enterococcus	COG2014	4
Chromobacterium	COG3911	11
Burkholderia	32WJ6	4
Klebsiella	COG1864	15
Salmonella	COG2872	5
Pseudomonas	33KSR	15
Pseudomonas	COG5654	20
Listeria	COG1177	19
Chromobacterium	4QF6Z	1
Vibrio	2ZBF5	22
Pseudomonas	COG2343	11
Salmonella	COG4913	2
Helicobacter	COG5002	17
Burkholderia	32V6V	11
Salmonella	31TBV	6
Staphylococcus	COG4154	12
Pseudomonas	COG5626	16
Erwinia	COG3103	10
Enterococcus	COG2348	35
Erwinia	COG4123	18
Proteus	COG0707	17
Francisella	COG0589	12
Proteus	3368B	3
Listeria	COG1914	31
Enterococcus	COG1304	36
Enterococcus	COG1328	22
Campylobacter	COG0824	20
Francisella	COG1748	8
Chromobacterium	COG0401	9
Mycobacterium	2Z847	5
Pseudomonas	COG2120	29
Corynebacterium	COG2019	3
Salmonella	4QGFZ	8
Klebsiella	COG3100	24
Pseudomonas	COG5589	16
Chromobacterium	COG1225	16
Yersinia	COG1235	24
Vibrio	31PN4	8
Klebsiella	33Q50	12
Klebsiella	33SH5	3
Erwinia	COG1881	31
Campylobacter	COG1943	9
Vibrio	32Y69	12
Helicobacter	COG0212	11
Chromobacterium	2Z8VY	3
Mycobacterium	COG5184	4
Helicobacter	COG5562	3
Pseudomonas	3036R	19
Pseudomonas	30CBI	2
Serratia	333U0	11
Chromobacterium	COG0468	18
Mycobacterium	COG3943	10
Klebsiella	333JI	23
Erwinia	COG3866	7
Klebsiella	COG3726	21
Chromobacterium	COG3162	21
Burkholderia	31779	10
Enterococcus	COG0762	12
Vibrio	COG4334	6
Klebsiella	2ZC0F	18
Pseudomonas	COG4384	7
Erwinia	3459P	14
Erwinia	31JWC	13
Corynebacterium	COG3193	6
Pseudomonas	305U4	7
Salmonella	33N1N	1
Bacillus	COG2371	4
Streptococcus	33BHV	2
Erwinia	COG2081	19
Proteus	COG4983	15
Pseudomonas	COG3233	4
Enterococcus	COG1566	9
Yersinia	COG2981	23
Serratia	COG1434	16
Mycobacterium	COG1435	1
Pseudomonas	341DV	1
Listeria	COG2021	29
Salmonella	COG4638	4
Proteus	COG1395	13
Francisella	COG1275	3
Vibrio	33EJX	27
Staphylococcus	COG2117	6
Clostridioides	COG2256	17
Vibrio	33QZ3	6
Campylobacter	COG1559	20
Klebsiella	COG3098	22
Listeria	COG1141	19
Burkholderia	COG1180	10
Serratia	30D4X	4
Vibrio	32S16	3
Clostridioides	COG4188	3
Legionella	COG2818	29
Erwinia	2Z97Y	1
Enterococcus	COG2220	30
Mycobacterium	COG5460	2
Yersinia	31NUI	1
Salmonella	COG3735	13
Mycobacterium	COG5476	3
Enterococcus	COG0229	18
Acinetobacter	COG3240	9
Vibrio	32YDN	4
Staphylococcus	COG1563	1
Erwinia	338FX	13
Burkholderia	COG0572	25
Vibrio	32X9E	13
Pseudomonas	33E1U	1
Proteus	2ZDW4	9
Listeria	COG4570	15
Pseudomonas	32VH9	5
Acinetobacter	33NMY	4
Vibrio	2ZCCE	26
Proteus	COG0827	43
Neisseria	2ZC07	4
Listeria	COG1636	6
Enterococcus	COG1426	16
Listeria	COG3420	1
Streptococcus	COG4935	7
Salmonella	COG0381	36
Serratia	COG3082	9
Pseudomonas	COG3650	17
Neisseria	3147Y	4
Chromobacterium	COG1496	16
Campylobacter	COG2081	1
Francisella	COG0469	16
Pseudomonas	30259	6
Chromobacterium	COG3531	19
Klebsiella	32YVF	14
Serratia	COG3744	12
Serratia	COG1536	13
Pseudomonas	COG4457	3
Pseudomonas	COG2923	16
Klebsiella	2Z8BM	35
Burkholderia	2Z8KY	8
Yersinia	COG0325	23
Erwinia	32RZ6	17
Erwinia	COG4289	1
Serratia	COG0705	10
Corynebacterium	COG0510	6
Francisella	COG3468	6
Neisseria	COG2026	22
Serratia	2ZA57	7
Campylobacter	COG3182	14
Staphylococcus	COG1638	21
Clostridioides	COG1397	8
Burkholderia	COG1328	14
Klebsiella	COG2733	28
Neisseria	COG1540	20
Pseudomonas	32X8B	13
Legionella	COG4733	2
Yersinia	COG3217	27
Francisella	COG2371	1
Burkholderia	COG5323	29
Erwinia	COG5383	18
Francisella	COG2161	5
Legionella	COG3600	4
Pseudomonas	COG2827	18
Burkholderia	COG2312	17
Legionella	COG3419	27
Klebsiella	33H8C	19
Francisella	COG0095	12
Yersinia	COG0017	31
Yersinia	2Z9WZ	4
Helicobacter	COG1092	18
Chromobacterium	COG2865	6
Enterococcus	COG1275	4
Erwinia	COG2105	22
Yersinia	32QJE	4
Corynebacterium	COG2080	4
Serratia	COG3454	17
Salmonella	COG2041	10
Serratia	COG3725	10
Helicobacter	COG2873	1
Francisella	COG1864	14
Clostridioides	COG0595	14
Vibrio	COG4529	49
Neisseria	COG3739	33
Mycobacterium	COG5515	5
Yersinia	COG1638	18
Yersinia	COG2172	16
Chromobacterium	COG3324	16
Serratia	COG5567	11
Campylobacter	COG2968	12
Campylobacter	COG1793	18
Helicobacter	COG1135	19
Pseudomonas	2Z9WJ	14
Corynebacterium	COG3693	4
Acinetobacter	COG0398	3
Mycobacterium	3320I	1
Staphylococcus	COG1793	13
Chromobacterium	32KYR	4
Streptococcus	COG1256	15
Chromobacterium	COG1343	13
Chromobacterium	332AJ	1
Clostridioides	COG2826	9
Streptococcus	3318S	26
Neisseria	COG0390	2
Mycobacterium	2ZFQR	7
Staphylococcus	COG3077	5
Vibrio	32Y0M	9
Enterococcus	COG0613	13
Salmonella	2Z8BQ	3
Burkholderia	30XB2	9
Proteus	COG2976	13
Vibrio	30HUD	27
Corynebacterium	2ZA3J	7
Streptococcus	COG2214	17
Corynebacterium	COG5653	5
Yersinia	COG4705	2
Francisella	COG2841	7
Vibrio	2Z9SM	26
Chromobacterium	COG3451	9
Proteus	COG2840	14
Staphylococcus	COG0835	1
Campylobacter	COG3391	16
Bacillus	COG2826	15
Chromobacterium	COG3741	14
Legionella	COG1198	36
Chromobacterium	COG2891	14
Francisella	COG4127	1
Vibrio	30C5P	11
Chromobacterium	COG1746	5
Proteus	32TZ0	2
Erwinia	COG0319	23
Serratia	COG3418	10
Chromobacterium	COG0615	26
Yersinia	COG3712	18
Serratia	32ZW5	10
Burkholderia	32YSQ	6
Serratia	30KNW	2
Clostridioides	32TIN	7
Mycobacterium	32979	3
Acinetobacter	COG4338	1
Serratia	2Z7MW	6
Pseudomonas	COG0799	15
Chromobacterium	COG3128	6
Streptococcus	COG1606	11
Erwinia	COG4340	4
Erwinia	32XB9	14
Vibrio	COG4111	1
Chromobacterium	COG3791	43
Serratia	2Z97H	3
Yersinia	COG3803	25
Chromobacterium	31HNJ	4
Helicobacter	COG0063	14
Clostridioides	COG1086	12
Clostridioides	COG1317	8
Vibrio	3302V	5
Campylobacter	COG2327	3
Salmonella	330U8	28
Klebsiella	COG4754	1
Klebsiella	2ZB55	1
Corynebacterium	COG1691	7
Erwinia	COG0807	19
Corynebacterium	COG0687	6
Pseudomonas	COG2849	21
Neisseria	334UQ	2
Serratia	4QHG0	2
Neisseria	COG2348	2
Burkholderia	32S5F	16
Pseudomonas	COG1621	8
Erwinia	COG2133	23
Legionella	COG1231	21
Streptococcus	2Z80P	1
Bacillus	COG0727	8
Erwinia	COG4715	18
Staphylococcus	COG5464	15
Listeria	COG0378	2
Burkholderia	32B7J	9
Campylobacter	COG0389	9
Yersinia	COG1503	11
Erwinia	33BH9	1
Clostridioides	COG5337	12
Chromobacterium	33MI2	3
Burkholderia	COG1284	7
Mycobacterium	2ZABR	12
Salmonella	COG1256	13
Serratia	33AHW	14
Klebsiella	33BHV	22
Helicobacter	COG0456	18
Klebsiella	33B00	17
Klebsiella	4QC24	10
Burkholderia	30H02	18
Serratia	COG0820	11
Staphylococcus	COG1864	1
Acinetobacter	COG1430	13
Serratia	COG0340	13
Pseudomonas	31TRE	2
Proteus	3321N	1
Serratia	COG3575	10
Francisella	COG1403	12
Mycobacterium	32YC0	6
Salmonella	COG0633	16
Streptococcus	COG1509	2
Chromobacterium	COG0827	6
Burkholderia	COG3223	42
Staphylococcus	COG4222	22
Legionella	COG1490	33
Neisseria	COG2367	18
Salmonella	4QGHP	2
Pseudomonas	COG4262	5
Erwinia	COG2962	14
Clostridioides	COG3037	22
Clostridioides	COG1070	21
Clostridioides	COG5314	1
Neisseria	2ZG4Y	20
Proteus	COG3723	25
Corynebacterium	COG2957	4
Klebsiella	31AM7	20
Serratia	COG2991	11
Erwinia	COG1268	12
Burkholderia	3155G	12
Pseudomonas	COG1431	13
Helicobacter	COG4088	12
Vibrio	32T7G	5
Pseudomonas	COG4943	17
Burkholderia	2Z8UQ	2
Burkholderia	COG1234	8
Salmonella	COG1806	9
Campylobacter	COG1180	5
Erwinia	COG3758	15
Mycobacterium	COG5322	6
Legionella	COG4627	1
Acinetobacter	COG1141	1
Bacillus	COG1573	15
Erwinia	COG1385	18
Salmonella	30QRA	1
Proteus	3185B	6
Klebsiella	COG4196	6
Neisseria	32SUA	17
Pseudomonas	2Z897	14
Salmonella	COG3688	1
Pseudomonas	COG3143	16
Mycobacterium	3302Q	8
Yersinia	COG3680	4
Pseudomonas	2Z7ZR	5
Serratia	330VB	3
Klebsiella	33B8J	1
Pseudomonas	COG4458	3
Pseudomonas	3397V	9
Chromobacterium	COG3246	13
Bacillus	COG4372	11
Serratia	COG5483	7
Salmonella	2ZYTW	9
Yersinia	COG3317	24
Klebsiella	32YZC	9
Salmonella	COG2030	13
Streptococcus	COG2377	2
Klebsiella	330VB	5
Francisella	COG4796	12
Acinetobacter	32SZA	1
Salmonella	COG0598	26
Staphylococcus	COG3613	6
Proteus	COG3247	13
Enterococcus	305A1	2
Klebsiella	3357Y	6
Yersinia	32S8H	4
Burkholderia	COG2508	27
Neisseria	COG3973	1
Pseudomonas	COG3128	20
Yersinia	COG1546	23
Klebsiella	COG3776	23
Bacillus	COG3237	19
Erwinia	COG3725	16
Klebsiella	COG1934	19
Burkholderia	32W2H	2
Streptococcus	COG1300	9
Erwinia	COG4405	10
Proteus	33V5E	3
Yersinia	331YB	12
Klebsiella	32SGJ	2
Vibrio	4QGHP	3
Pseudomonas	COG2964	13
Salmonella	2ZBTG	12
Helicobacter	COG0785	16
Listeria	COG1180	27
Klebsiella	2Z8UQ	10
Proteus	COG3077	15
Yersinia	32BPK	4
Yersinia	33CB1	5
Burkholderia	3004J	9
Staphylococcus	COG2816	5
Neisseria	COG4632	2
Campylobacter	COG1149	3
Francisella	COG4754	11
Chromobacterium	COG3593	24
Salmonella	COG3172	7
Burkholderia	3370F	7
Bacillus	COG2019	8
Pseudomonas	COG1334	20
Pseudomonas	33HP8	14
Serratia	2Z8W7	4
Salmonella	COG3485	2
Chromobacterium	COG0802	14
Klebsiella	3339C	6
Enterococcus	COG3153	15
Serratia	331HM	13
Proteus	COG2327	24
Proteus	COG3313	15
Mycobacterium	COG1035	6
Pseudomonas	COG1392	6
Erwinia	COG0842	29
Listeria	COG1377	17
Erwinia	COG3663	15
Vibrio	32PA3	1
Salmonella	COG3317	7
Yersinia	2ZKAC	3
Klebsiella	32ZEV	7
Pseudomonas	COG5490	4
Salmonella	COG1472	30
Corynebacterium	COG4627	1
Proteus	30HV0	1
Erwinia	COG3861	4
Legionella	COG2375	42
Helicobacter	COG2826	3
Klebsiella	COG3085	19
Pseudomonas	33J1E	5
Campylobacter	COG4232	18
Pseudomonas	COG0275	23
Serratia	32S12	2
Yersinia	COG4134	2
Pseudomonas	COG2078	1
Klebsiella	31JWC	11
Chromobacterium	COG3111	6
Corynebacterium	COG2020	9
Proteus	32STG	13
Klebsiella	COG4421	12
Erwinia	313PE	1
Burkholderia	2Z7ZR	20
Legionella	COG1512	4
Salmonella	COG3045	8
Corynebacterium	345I0	1
Proteus	COG4381	2
Salmonella	COG1780	8
Yersinia	33MS3	2
Burkholderia	34932	6
Serratia	COG2919	11
Listeria	COG0251	18
Pseudomonas	33AD4	15
Burkholderia	2Z835	12
Pseudomonas	COG3895	15
Serratia	3147Y	1
Corynebacterium	COG0602	6
Corynebacterium	COG2954	2
Serratia	33ZM8	1
Pseudomonas	33A1H	11
Streptococcus	COG2313	4
Enterococcus	COG1690	10
Salmonella	COG1738	9
Salmonella	33DHS	9
Salmonella	COG3162	9
Chromobacterium	COG3086	1
Klebsiella	334EK	6
Erwinia	COG4961	6
Serratia	COG4452	13
Vibrio	COG5393	1
Proteus	COG2010	1
Acinetobacter	COG3037	4
Legionella	COG1171	27
Chromobacterium	COG3959	12
Chromobacterium	COG3485	15
Mycobacterium	COG4754	13
Erwinia	COG3254	17
Pseudomonas	COG4627	3
Erwinia	COG0633	1
Acinetobacter	32V2S	1
Acinetobacter	COG0785	5
Salmonella	COG2849	3
Proteus	2Z9I1	1
Burkholderia	32RR3	5
Staphylococcus	COG0683	9
Bacillus	33KGC	2
Burkholderia	344ID	10
Vibrio	31TWK	1
Salmonella	COG2242	4
Streptococcus	COG4990	13
Klebsiella	31DM2	11
Chromobacterium	COG0797	14
Klebsiella	COG4186	1
Acinetobacter	COG3626	1
Proteus	COG3886	8
Yersinia	COG3128	14
Erwinia	COG5587	2
Erwinia	COG3926	4
Yersinia	COG3007	24
Pseudomonas	32ZH9	15
Serratia	COG3450	13
Chromobacterium	COG3191	5
Staphylococcus	COG1376	3
Clostridioides	COG1682	7
Burkholderia	31WRS	12
Klebsiella	COG5426	30
Pseudomonas	COG5661	6
Erwinia	COG3136	12
Erwinia	COG3045	16
Corynebacterium	COG1030	7
Mycobacterium	COG4772	2
Francisella	COG1937	10
Proteus	COG1430	1
Pseudomonas	COG2073	42
Proteus	COG5566	4
Acinetobacter	COG2510	19
Chromobacterium	COG4754	14
Serratia	2Z9DZ	18
Bacillus	3368B	5
Bacillus	COG2080	30
Mycobacterium	COG1983	26
Pseudomonas	COG3355	6
Enterococcus	COG3603	16
Pseudomonas	COG3857	6
Campylobacter	COG3211	27
Enterococcus	COG1696	19
Vibrio	2Z84F	8
Bacillus	COG0627	8
Vibrio	3423K	18
Francisella	COG3497	5
Serratia	COG1787	17
Yersinia	COG1664	20
Enterococcus	COG4373	6
Bacillus	2ZKFM	7
Chromobacterium	COG0450	15
Chromobacterium	32TTG	3
Mycobacterium	COG3774	18
Acinetobacter	COG3813	6
Burkholderia	COG1830	12
Erwinia	32Z1J	5
Burkholderia	2Z7N9	15
Enterococcus	COG3860	5
Legionella	COG1418	3
Enterococcus	COG3311	13
Enterococcus	COG0793	26
Erwinia	COG2130	20
Legionella	COG2856	12
Chromobacterium	332IV	14
Clostridioides	COG1177	13
Bacillus	COG2175	13
Enterococcus	2ZABR	5
Serratia	COG2124	11
Proteus	COG3568	6
Serratia	COG3118	48
Burkholderia	3311M	22
Clostridioides	COG3467	12
Francisella	COG0128	10
Salmonella	COG3001	12
Yersinia	COG0415	29
Burkholderia	2ZF5V	10
Salmonella	339KB	9
Erwinia	COG4641	2
Serratia	COG2172	7
Salmonella	COG1787	11
Corynebacterium	COG0070	17
Streptococcus	32U2J	1
Yersinia	32W93	9
Vibrio	COG3541	9
Klebsiella	COG3797	1
Listeria	COG1808	6
Bacillus	COG5342	1
Erwinia	32T7D	5
Legionella	COG2301	9
Serratia	COG2833	1
Bacillus	COG4587	8
Acinetobacter	COG0622	4
Francisella	306JH	2
Clostridioides	COG4870	16
Acinetobacter	32WCY	18
Clostridioides	COG0514	15
Streptococcus	COG0027	6
Erwinia	COG5476	1
Serratia	COG3768	12
Legionella	2Z7N0	22
Proteus	COG2361	3
Streptococcus	334EY	1
Serratia	COG2146	24
Francisella	COG2337	5
Campylobacter	COG2944	13
Yersinia	33GG2	12
Salmonella	33ERG	7
Chromobacterium	COG1215	45
Vibrio	33YS2	2
Erwinia	COG0729	29
Chromobacterium	31AM7	8
Bacillus	COG4186	9
Acinetobacter	COG4536	7
Enterococcus	COG1624	20
Burkholderia	334F4	32
Salmonella	COG3621	2
Helicobacter	COG0236	23
Erwinia	4QAQE	9
Corynebacterium	COG3680	4
Erwinia	COG3792	7
Vibrio	330UW	11
Corynebacterium	COG3447	2
Klebsiella	2Z7JK	1
Neisseria	COG1742	9
Serratia	COG3100	11
Clostridioides	COG2148	16
Clostridioides	COG2152	2
Clostridioides	COG1983	3
Clostridioides	COG3087	14
Legionella	COG0684	22
Clostridioides	COG3695	2
Acinetobacter	COG5606	15
Erwinia	2Z96Y	18
Salmonella	COG1721	4
Salmonella	32Z24	4
Francisella	COG0397	13
Serratia	32G90	2
Corynebacterium	COG3232	1
Staphylococcus	COG1143	4
Erwinia	32Z4W	6
Listeria	COG1607	20
Corynebacterium	30456	5
Pseudomonas	COG0561	19
Listeria	COG3669	3
Burkholderia	2Z9EW	8
Pseudomonas	COG5460	15
Mycobacterium	COG4467	6
Pseudomonas	2ZDFQ	4
Acinetobacter	33QJ4	2
Serratia	2Z9JD	15
Chromobacterium	COG3510	4
Serratia	COG1368	25
Helicobacter	COG1994	12
