root_og	n_species	n_phyla	n_classes	n_orders	n_families	n_genera	phyla_set
2Z8HF	289	8	10	31	58	121	Asgardarchaeota;Bacillota;Chloroflexota;Cyanobacteriota;Myxococcota;Myxococcota_A;Pseudomonadota;Spirochaetota
2Z8HJ	221	11	15	34	50	98	Acidobacteriota;Actinomycetota;Bacteroidota;Chloroflexota;Cyanobacteriota;Eremiobacterota;Myxococcota;Nitrospirota;Planctomycetota;Pseudomonadota;Verrucomicrobiota
2Z8IF	582	30	49	86	145	266	AABM5-125-24;Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacillota_D;Bacillota_F;Bacteroidota;Bdellovibrionota;Campylobacterota;Chloroflexota;Cloacimonadota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_F;Desulfobacterota_G;Elusimicrobiota;Fibrobacterota;Halobacteriota;Margulisbacteria;Marinisomatota;Myxococcota;Nitrospirota;Pseudomonadota;SAR324;Spirochaetota;Synergistota;Verrucomicrobiota
2Z8JD	416	1	2	8	18	72	Pseudomonadota
2Z8JM	718	10	12	33	73	189	Acidobacteriota;Actinomycetota;Bacillota_C;Bacteroidota;Cyanobacteriota;Myxococcota;Nitrospirota;Pseudomonadota;Spirochaetota;Verrucomicrobiota
2Z8JP	205	4	4	7	19	55	Bacillota;Bacillota_A;Bacillota_C;Bacteroidota
2Z8K9	472	3	3	9	18	108	Campylobacterota;Desulfobacterota;Pseudomonadota
2Z8KV	159	1	1	1	1	50	Pseudomonadota
2Z8NV	823	21	38	73	116	247	Acidobacteriota;Bacteroidota;Bdellovibrionota;Calditrichota;Campylobacterota;Chloroflexota;Cyanobacteriota;Desulfobacterota_B;Desulfobacterota_D;Desulfobacterota_F;Gemmatimonadota;Marinisomatota;Myxococcota;Nitrospinota;Nitrospirota;Patescibacteria;Planctomycetota;Poribacteria;Pseudomonadota;Spirochaetota;Verrucomicrobiota
2Z8P1	738	25	56	113	170	367	Acidobacteriota;Actinomycetota;Armatimonadota;Bacteroidota;Bdellovibrionota;CSP1-3;Calditrichota;Chlamydiota;Chloroflexota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_F;Dormibacterota;Elusimicrobiota;Eremiobacterota;Gemmatimonadota;Methylomirabilota;Myxococcota;Nitrospirota;Omnitrophota;Planctomycetota;Pseudomonadota;Spirochaetota;Verrucomicrobiota
2Z8Q3	286	2	2	4	11	32	Bacteroidota;Pseudomonadota
2Z8Q4	661	22	31	73	121	267	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_C;Bacillota_D;Bacteroidota;Bdellovibrionota;Chloroflexota;Desulfobacterota;Desulfobacterota_B;Fusobacteriota;Halobacteriota;Methanobacteriota;Myxococcota;Myxococcota_A;Planctomycetota;Poribacteria;Pseudomonadota;Spirochaetota;Synergistota;Thermoplasmatota
2Z8R7	13	1	1	2	2	9	Pseudomonadota
2Z8RA	634	13	17	34	73	215	Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacteroidota;Campylobacterota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_G;Methanobacteriota;Pseudomonadota;Spirochaetota
2Z8S2	279	14	18	43	76	151	Acidobacteriota;Actinomycetota;Armatimonadota;Bacillota;Bacteroidota;Chloroflexota;Cyanobacteriota;Desulfobacterota_F;Gemmatimonadota;Omnitrophota;Planctomycetota;Pseudomonadota;Verrucomicrobiota;WOR-3
2Z8S8	78	1	2	9	16	43	Pseudomonadota
2Z8SK	200	4	5	12	28	69	Acidobacteriota;Bacillota;Desulfobacterota;Pseudomonadota
2Z8TK	54	2	2	3	3	16	Planctomycetota;Pseudomonadota
2Z8UT	476	26	47	94	142	234	Acidobacteriota;Bacillota_A;Bacillota_B;Bacteroidota;Bdellovibrionota;Campylobacterota;Chloroflexota;Cyanobacteriota;Deinococcota;Desulfobacterota;Eisenbacteria;Eremiobacterota;Fusobacteriota;Gemmatimonadota;Margulisbacteria;Marinisomatota;Myxococcota;Omnitrophota;Patescibacteria;Planctomycetota;Pseudomonadota;Riflebacteria;SAR324;Spirochaetota;Synergistota;Verrucomicrobiota
2Z8V7	82	6	6	8	9	44	Bacteroidota;Patescibacteria;Planctomycetota;Pseudomonadota;Thermoplasmatota;Verrucomicrobiota
2Z8VQ	222	6	7	11	15	94	Actinomycetota;Bacteroidota;Chloroflexota;Cyanobacteriota;Desulfobacterota;Pseudomonadota
2Z8W7	1106	43	75	146	256	545	AABM5-125-24;Acidobacteriota;Actinomycetota;Armatimonadota;Asgardarchaeota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacteroidota;Bdellovibrionota;Campylobacterota;Chloroflexota;Cloacimonadota;Cyanobacteriota;Deferribacterota;Desantisbacteria;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_F;Desulfobacterota_G;Dormibacterota;Elusimicrobiota;Eremiobacterota;Fibrobacterota;Fusobacteriota;Gemmatimonadota;Halobacteriota;JAAXHH01;JdFR-76;Nanoarchaeota;Nitrospirota;Nitrospirota_A;Omnitrophota;Patescibacteria;Planctomycetota;Pseudomonadota;Spirochaetota;Synergistota;Thermoproteota;Thermotogota;Verrucomicrobiota;WOR-3
2Z8W8	195	3	4	7	13	57	Chloroflexota;Pseudomonadota;Verrucomicrobiota
2Z8WW	128	8	12	26	37	68	Acidobacteriota;Bacillota_C;Bacillota_F;Bacteroidota;Desulfobacterota;Desulfobacterota_G;Pseudomonadota;Riflebacteria
2Z8XV	95	2	3	5	7	27	Actinomycetota;Pseudomonadota
2Z8YM	221	2	2	7	8	92	Patescibacteria;Pseudomonadota
2Z90A	167	12	16	37	49	82	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacteroidota;Cyanobacteriota;Desulfobacterota;Halobacteriota;Myxococcota;Pseudomonadota;Spirochaetota
2Z915	349	18	27	54	88	164	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacteroidota;Bdellovibrionota;Chloroflexota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_F;Elusimicrobiota;Eremiobacterota;Margulisbacteria;Myxococcota;Nitrospirota;Patescibacteria;Planctomycetota;Pseudomonadota
2Z91Q	20	13	16	18	19	19	Acidobacteriota;Asgardarchaeota;Bacillota_A;Bacillota_B;Bacillota_F;Bacteroidota;Chloroflexota;Hadarchaeota;Halobacteriota;Methanobacteriota;Nitrospirota;Patescibacteria;Pseudomonadota
2Z91Y	311	6	8	20	36	98	Acidobacteriota;Actinomycetota;Bacteroidota;Planctomycetota;Pseudomonadota;Verrucomicrobiota
2Z92P	199	2	3	10	13	85	Myxococcota_A;Pseudomonadota
2Z932	354	4	4	6	6	77	Actinomycetota;Bacillota;Pseudomonadota;Spirochaetota
2Z93I	135	1	1	3	6	22	Pseudomonadota
2Z950	272	1	1	1	1	117	Pseudomonadota
2Z96K	186	3	4	16	25	83	Myxococcota;Pseudomonadota;Verrucomicrobiota
2Z99I	201	13	16	40	68	134	Acidobacteriota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacteroidota;Chloroflexota;Eremiobacterota;Latescibacterota;Methanobacteriota;Nitrospirota;Planctomycetota;Pseudomonadota
2Z9AA	871	15	23	61	109	260	Actinomycetota;Auribacterota;Bdellovibrionota;Deferribacterota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_F;Eremiobacterota;Myxococcota_A;OLB16;Omnitrophota;Planctomycetota;Pseudomonadota;UBP4;Verrucomicrobiota
2Z9B7	579	10	19	43	69	174	Acidobacteriota;Actinomycetota;Bacillota;Bacteroidota;Cyanobacteriota;Desulfobacterota;Myxococcota;Planctomycetota;Pseudomonadota;Verrucomicrobiota
2Z9BC	790	10	15	22	53	159	Actinomycetota;Bacillota_A;Bacteroidota;Calditrichota;Gemmatimonadota;Krumholzibacteriota;Marinisomatota;Methanobacteriota;Myxococcota;Spirochaetota
2Z9BE	1570	4	5	10	38	261	Bacillota_A;Bacillota_C;Bacteroidota;Nanoarchaeota
2Z9BG	386	6	9	12	25	148	Acidobacteriota;Bacteroidota;Calditrichota;Gemmatimonadota;JdFR-76;KSB1
2Z9BP	52	6	9	10	13	22	Acidobacteriota;Bacteroidota;Chloroflexota;Gemmatimonadota;Patescibacteria;Verrucomicrobiota
2Z9CI	86	2	2	3	4	22	Bacillota_C;Pseudomonadota
2Z9D8	372	1	2	2	2	138	Pseudomonadota
2Z9DE	369	16	26	63	113	223	Acidobacteriota;Actinomycetota;Armatimonadota;Bacillota;Bacillota_A;Bacteroidota;Bdellovibrionota;Campylobacterota;Chloroflexota;Desulfobacterota;Desulfobacterota_F;FCPU426;Gemmatimonadota;Pseudomonadota;Spirochaetota;Verrucomicrobiota
2Z9FC	766	13	19	79	127	305	Acidobacteriota;Actinomycetota;Bacteroidota;Bdellovibrionota;Cyanobacteriota;Desulfobacterota_B;Gemmatimonadota;Myxococcota_A;Nitrospirota;Poribacteria;Pseudomonadota;SAR324;Verrucomicrobiota
2Z9I1	106	2	2	4	6	42	Bacillota_A;Pseudomonadota
2Z9IK	520	45	75	139	209	321	Acidobacteriota;Actinomycetota;Armatimonadota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacillota_D;Bacillota_E;Bacillota_F;Bacillota_G;Bacteroidota;Campylobacterota;Chloroflexota;Cloacimonadota;Cyanobacteriota;Deinococcota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_D;Desulfobacterota_G;Gemmatimonadota;Halobacteriota;JAAXHH01;Latescibacterota;Marinisomatota;Methanobacteriota;Methanobacteriota_B;Micrarchaeota;Myxococcota;NPL-UPA2;Nitrospirota;Nitrospirota_A;Patescibacteria;Planctomycetota;Pseudomonadota;Ratteibacteria;SZUA-79;Spirochaetota;Thermoplasmatota;Thermoproteota;Thermotogota;UBA9089;Verrucomicrobiota;Zixibacteria
2Z9IV	1556	38	64	127	253	645	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacteroidota;Bdellovibrionota;Calditrichota;Campylobacterota;Chlamydiota;Chloroflexota;Cloacimonadota;Cyanobacteriota;Deferribacterota;Delongbacteria;Desulfobacterota;Desulfobacterota_F;Elusimicrobiota;Eremiobacterota;Fermentibacterota;Fibrobacterota;Fusobacteriota;Halobacteriota;Hydrogenedentota;Latescibacterota;Marinisomatota;Myxococcota;Omnitrophota;Planctomycetota;Pseudomonadota;Riflebacteria;Spirochaetota;Synergistota;UBA10199;UBP6;Verrucomicrobiota;Wallbacteria
2Z9JD	400	6	7	17	36	125	Bacillota;Bacillota_A;Cyanobacteriota;Pseudomonadota;Synergistota;Verrucomicrobiota
2Z9JF	128	2	2	5	8	13	Desulfobacterota;Pseudomonadota
2Z9KF	143	1	1	6	14	53	Pseudomonadota
2Z9MP	115	1	1	4	8	16	Pseudomonadota
2Z9MU	425	2	3	7	26	84	Bacteroidota;Pseudomonadota
2Z9NJ	1291	20	28	95	161	412	Acidobacteriota;Actinomycetota;Bacteroidota;Bdellovibrionota;CG03;Calditrichota;Campylobacterota;Chrysiogenota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_F;Latescibacterota;Marinisomatota;Nitrospinota;OLB16;Patescibacteria;Planctomycetota;Pseudomonadota;Thermoplasmatota;Verrucomicrobiota
2Z9P9	337	29	37	74	123	215	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacillota_E;Bacillota_F;Bacillota_G;Bacteroidota;Campylobacterota;Chloroflexota;Cyanobacteriota;Deferribacterota;Desulfobacterota;Desulfobacterota_F;Fibrobacterota;Fusobacteriota;Halobacteriota;Latescibacterota;Methanobacteriota;Nitrospirota;Patescibacteria;Planctomycetota;Poribacteria;Pseudomonadota;Spirochaetota;Thermoplasmatota;Verrucomicrobiota
